danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,added_at,song_title,artists
0.703,0.69,10,-6.266,1,0.298,0.504,0.0,0.0869,0.34299999999999997,133.953,211347,4,2020-03-14T14:21:56Z,Factice,Josman
0.754,0.7240000000000001,4,-7.152,0,0.235,0.156,0.0,0.154,0.621,89.34,156201,4,2020-03-13T16:03:32Z,Dojo,Hugo TSR
0.879,0.5760000000000001,6,-7.499,0,0.0438,0.6970000000000001,0.0,0.0879,0.217,119.978,192000,4,2020-03-13T10:41:14Z,J'aime Bien!,Josman
0.799,0.593,1,-5.8660000000000005,1,0.37200000000000005,0.26899999999999996,0.0,0.11699999999999999,0.711,85.994,223256,4,2020-03-13T10:35:14Z,L'Occasion,Josman
0.915,0.626,6,-7.332000000000001,0,0.188,0.414,0.0,0.11599999999999999,0.703,138.011,168696,4,2020-03-13T10:24:06Z,"Un Zder, Un Thé",Josman
0.735,0.8270000000000001,11,-6.751,0,0.228,0.111,9.23e-05,0.366,0.473,159.048,205283,4,2020-03-13T10:17:53Z,BIZ,Josman
0.8909999999999999,0.6709999999999999,8,-5.34,1,0.055,0.396,0.0,0.11699999999999999,0.479,127.98700000000001,135000,4,2020-03-13T10:04:57Z,DLVrai,Josman
0.7759999999999999,0.5489999999999999,8,-9.761000000000001,1,0.45299999999999996,0.344,0.0,0.26,0.557,135.868,201176,4,2020-03-13T09:58:31Z,Fucked Up 3,Josman
0.631,0.626,5,-8.432,1,0.38299999999999995,0.414,0.0,0.14800000000000002,0.629,137.031,225107,4,2020-03-13T09:51:23Z,BabyGirl,Josman
0.735,0.616,6,-6.515,1,0.27399999999999997,0.41100000000000003,0.0,0.126,0.573,145.036,175427,4,2020-03-13T08:54:02Z,Lifestyle,Josman
0.664,0.597,5,-7.084,0,0.35100000000000003,0.266,0.0,0.128,0.664,149.093,195120,4,2020-03-12T16:02:19Z,"Argent, Drogue & Sexe (feat. Seth Gueko)","Josman,Seth Gueko"
0.524,0.727,9,-6.037999999999999,0,0.505,0.414,0.0,0.147,0.409,159.458,99000,4,2020-03-12T13:01:22Z,Larmes de Sel (Intro),Josman
0.961,0.5870000000000001,1,-16.407,0,0.182,0.0389,0.878,0.256,0.155,118.0,434872,4,2020-03-11T15:08:54Z,Die Taube auf dem Dach,Stimming
0.43799999999999994,0.457,4,-11.255999999999998,0,0.434,0.92,0.000192,0.134,0.124,174.81900000000002,215013,5,2020-03-11T13:20:51Z,SCHÉMA,Sneazzy
0.733,0.6729999999999999,1,-8.124,0,0.16399999999999998,0.45899999999999996,0.0,0.107,0.384,78.91,260787,4,2020-03-11T13:09:27Z,ZÉRO DÉTAIL,"Sneazzy,Nekfeu"
0.8059999999999999,0.765,10,-4.765,0,0.171,0.345,0.0,0.0846,0.53,144.991,206897,4,2020-03-11T09:45:41Z,XS,Josman
0.813,0.743,4,-6.686,0,0.040999999999999995,0.0548,1.39e-06,0.129,0.228,132.958,204133,4,2020-03-10T15:33:42Z,J'allume,Josman
0.84,0.402,8,-7.912000000000001,0,0.0679,0.0217,0.0821,0.114,0.47200000000000003,139.998,235602,4,2020-03-10T09:37:09Z,Sunday,"Atili,Prendy,Tenah Bones"
0.725,0.7170000000000001,1,-11.105,1,0.0514,0.00114,0.8220000000000001,0.109,0.0997,123.006,446347,3,2020-03-09T13:24:05Z,Void,Max Cooper
0.7020000000000001,0.522,8,-11.347000000000001,0,0.0418,0.0040100000000000005,0.8420000000000001,0.151,0.298,126.008,533344,3,2020-03-08T23:26:08Z,Harmonisch Serie,Max Cooper
0.863,0.507,11,-7.047999999999999,0,0.354,0.0916,2.34e-05,0.154,0.23800000000000002,97.009,213026,4,2020-03-08T17:26:59Z,Still Want U,"ZHU,Karnaval Blues"
0.703,0.5710000000000001,1,-13.1,1,0.107,0.20600000000000002,0.298,0.15,0.26,117.95,276760,4,2020-03-08T17:23:19Z,VIVID DREAMS,"KAYTRANADA,River Tiber"
0.83,0.402,10,-11.357000000000001,0,0.0449,0.133,0.8109999999999999,0.109,0.39299999999999996,123.99600000000001,376079,4,2020-03-08T14:34:23Z,Walls to Build - Mall Grab Remix,Kllo
0.8959999999999999,0.465,9,-5.984,0,0.0716,0.133,0.0038399999999999997,0.0942,0.40299999999999997,116.01100000000001,236947,4,2020-03-08T14:31:21Z,I'm Honestly Not a Gangster,Jerry Folk
0.7290000000000001,0.846,4,-5.496,0,0.0364,0.0275,0.5720000000000001,0.105,0.126,116.99700000000001,186667,4,2020-03-08T14:24:45Z,Zeal,Tchami
0.5720000000000001,0.498,2,-10.484000000000002,0,0.431,0.0471,4.67e-06,0.247,0.5489999999999999,109.19200000000001,226909,4,2020-03-08T13:54:14Z,Stay Lost - Cabu Remix,"Joe Hertz,Amber-Simone,Cabu"
0.7859999999999999,0.387,1,-12.732000000000001,1,0.332,0.113,0.00732,0.115,0.23600000000000002,120.041,245955,4,2020-03-08T13:46:37Z,Leave Me Alone,"KAYTRANADA,Shay Lia"
0.7879999999999999,0.875,9,-3.742,0,0.0339,0.00193,0.536,0.107,0.9359999999999999,125.91799999999999,202825,4,2020-03-08T12:22:45Z,The Bomb! (These Sounds Fall Into My Mind) - Radio Edit,The Bucketheads
0.6629999999999999,0.6829999999999999,1,-8.542,1,0.0433,0.349,0.848,0.14400000000000002,0.163,111.02,331000,4,2020-03-03T18:06:50Z,Waves,Max Cooper
0.7440000000000001,0.562,0,-7.89,0,0.0378,0.22699999999999998,0.0898,0.10300000000000001,0.161,109.98100000000001,294351,4,2020-03-01T19:04:34Z,My Life,"ZHU,Tame Impala"
0.522,0.738,7,-6.452999999999999,0,0.39899999999999997,0.66,0.0,0.111,0.29600000000000004,87.92399999999999,213720,3,2020-02-28T20:46:58Z,Journal perso II,Vald
0.7809999999999999,0.634,10,-7.666,0,0.0745,0.0842,0.0,0.12,0.48700000000000004,146.005,201173,4,2020-02-28T19:41:42Z,1er jour d'école,Chilla
0.547,0.745,2,-4.968999999999999,0,0.0397,0.0375,0.0,0.0851,0.358,104.935,215760,4,2020-02-28T19:17:09Z,La cerise,Matmatah
0.616,0.8490000000000001,1,-2.333,0,0.0243,0.0249,0.00221,0.16399999999999998,0.638,94.01899999999999,205200,4,2020-02-28T18:05:00Z,Au conditionnel,Matmatah
0.8540000000000001,0.488,6,-9.165,0,0.275,0.337,0.0,0.297,0.78,140.041,224772,4,2020-02-25T15:06:30Z,Espero Voce,"Flavia Coelho,Patrice"
0.564,0.605,5,-10.074,0,0.0283,0.0601,0.784,0.14400000000000002,0.308,130.025,216000,4,2020-02-25T12:50:12Z,Warda,Ondubground
0.589,0.498,10,-9.95,0,0.0357,0.0141,0.65,0.0669,0.0383,125.007,253440,3,2020-02-22T18:32:27Z,Going On,"Atili,Panda Dub"
0.23800000000000002,0.40399999999999997,2,-7.968,0,0.0363,0.873,0.00509,0.10300000000000001,0.28,133.935,192373,5,2020-02-22T16:59:12Z,Merzhin - Instrumental,Merzhin
0.747,0.624,11,-6.162000000000001,0,0.0353,0.08,0.0,0.289,0.209,97.964,123673,4,2020-02-13T16:51:20Z,Cash Out,Lil Toe
0.747,0.38799999999999996,8,-8.307,1,0.384,0.0773,0.314,0.126,0.223,164.861,129033,4,2020-02-13T16:50:57Z,Pipe Down,Lil Toe
0.6659999999999999,0.945,6,-2.388,1,0.133,0.0013599999999999999,3.09e-05,0.107,0.512,145.004,200276,4,2020-02-12T14:51:24Z,Gang Shit,"Dotcom,Lil Toe"
0.904,0.7659999999999999,1,-5.905,0,0.11800000000000001,0.12300000000000001,0.0,0.11599999999999999,0.5489999999999999,98.917,127724,4,2020-02-12T14:47:36Z,Tick Tock,Lil Toe
0.5670000000000001,0.629,11,-6.075,0,0.24100000000000002,0.42100000000000004,0.0,0.102,0.289,112.087,160133,5,2020-02-12T13:25:10Z,Shine,Doja Cat
0.731,0.657,0,-8.56,1,0.0434,0.0591,0.0,0.0874,0.49,159.97,184490,4,2020-02-12T12:58:04Z,TAlk tO Me (with Rich The Kid),"Tory Lanez,Rich The Kid"
0.88,0.6759999999999999,4,-6.877000000000001,0,0.271,0.165,0.0,0.626,0.523,112.94200000000001,274246,4,2020-02-12T09:41:17Z,Psychoville,"Dabbla,Graziella"
