,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists,genres,principal_genre
10,0.739,0.848,6,-9.68,1,0.0601,0.154,0.932,0.0854,0.189,125.993,audio_features,4WfTdxTIdbib5Pb0KrYCHd,spotify:track:4WfTdxTIdbib5Pb0KrYCHd,https://api.spotify.com/v1/tracks/4WfTdxTIdbib5Pb0KrYCHd,https://api.spotify.com/v1/audio-analysis/4WfTdxTIdbib5Pb0KrYCHd,432705,5,2019-02-22T16:31:17Z,Main Sequence - Original Mix,Pleasurekraft,"['dark techno', 'deep minimal techno', 'funky tech house', 'minimal techno', 'tech house']",techno
11,0.802,0.875,7,-8.468,1,0.0476,4.05e-05,0.912,0.0786,0.138,127.001,audio_features,1t0WwLXFscpzjUW9aJzXg5,spotify:track:1t0WwLXFscpzjUW9aJzXg5,https://api.spotify.com/v1/tracks/1t0WwLXFscpzjUW9aJzXg5,https://api.spotify.com/v1/audio-analysis/1t0WwLXFscpzjUW9aJzXg5,426504,4,2019-02-22T16:30:38Z,Momentum - André Winter Remix,"Oliver Huntemann,André Winter","['dark techno', 'german techno', 'hamburg electronic', 'minimal techno', 'tech house']",techno
12,0.702,0.739,11,-10.583,0,0.0738,0.00198,0.836,0.108,0.0705,127.978,audio_features,0yfLOwZmzWmdFLPmmQhGd0,spotify:track:0yfLOwZmzWmdFLPmmQhGd0,https://api.spotify.com/v1/tracks/0yfLOwZmzWmdFLPmmQhGd0,https://api.spotify.com/v1/audio-analysis/0yfLOwZmzWmdFLPmmQhGd0,487500,4,2019-02-22T16:30:14Z,C166W,Joyhauser,"['belgian techno', 'dark techno', 'minimal techno', 'raw techno', 'tech house']",techno
13,0.81,0.659,11,-10.072,0,0.0471,0.00401,0.918,0.0902,0.594,127.003,audio_features,7xupfPfbpleprvA1wrpAbJ,spotify:track:7xupfPfbpleprvA1wrpAbJ,https://api.spotify.com/v1/tracks/7xupfPfbpleprvA1wrpAbJ,https://api.spotify.com/v1/audio-analysis/7xupfPfbpleprvA1wrpAbJ,411500,4,2019-02-22T16:29:56Z,Retrosaw,"Hector,Nicole Moudaber",['dark techno'],techno
14,0.425,0.842,7,-7.278,1,0.0771,0.000835,0.889,0.678,0.197,130.005,audio_features,0Ju8w3hj177ReMjqwWTxSr,spotify:track:0Ju8w3hj177ReMjqwWTxSr,https://api.spotify.com/v1/tracks/0Ju8w3hj177ReMjqwWTxSr,https://api.spotify.com/v1/audio-analysis/0Ju8w3hj177ReMjqwWTxSr,409862,3,2019-02-22T16:29:40Z,Thunderbolts,Spartaque,"['dark techno', 'deep minimal techno', 'tech house', 'ukrainian electronic']",techno
15,0.8,0.924,4,-2.921,1,0.117,0.00206,0.878,0.139,0.261,126.007,audio_features,10AFhDd4uJaDLR0LVPMkDT,spotify:track:10AFhDd4uJaDLR0LVPMkDT,https://api.spotify.com/v1/tracks/10AFhDd4uJaDLR0LVPMkDT,https://api.spotify.com/v1/audio-analysis/10AFhDd4uJaDLR0LVPMkDT,438095,4,2019-02-22T16:20:29Z,Rising,Teenage Mutants,['dark techno'],techno
16,0.812,0.905,7,-7.978,1,0.0955,0.163,0.902,0.0974,0.214,127.003,audio_features,6qggM45NGRAlLPmwnykKw3,spotify:track:6qggM45NGRAlLPmwnykKw3,https://api.spotify.com/v1/tracks/6qggM45NGRAlLPmwnykKw3,https://api.spotify.com/v1/audio-analysis/6qggM45NGRAlLPmwnykKw3,404410,4,2019-02-22T15:50:50Z,Chakra,Belocca,"['dark techno', 'funky tech house', 'tech house']",techno
17,0.763,0.894,7,-8.483,1,0.0657,0.068,0.931,0.132,0.341,126.004,audio_features,0dCOxB07cxEtZPfAZmAytj,spotify:track:0dCOxB07cxEtZPfAZmAytj,https://api.spotify.com/v1/tracks/0dCOxB07cxEtZPfAZmAytj,https://api.spotify.com/v1/audio-analysis/0dCOxB07cxEtZPfAZmAytj,428095,4,2019-02-22T15:38:38Z,Collision Wall,UMEK,"['dark techno', 'minimal techno', 'raw techno', 'slovenian electronic', 'tech house', 'techno']",techno
18,0.702,0.86,7,-8.158,1,0.0418,0.00948,0.866,0.142,0.0363,126.003,audio_features,124GQrg0TVwfAyzT8PVfFs,spotify:track:124GQrg0TVwfAyzT8PVfFs,https://api.spotify.com/v1/tracks/124GQrg0TVwfAyzT8PVfFs,https://api.spotify.com/v1/audio-analysis/124GQrg0TVwfAyzT8PVfFs,398125,4,2019-02-22T15:28:12Z,Emerge,"Alex Stein,K.A.L.I.L.","['brazilian techno', 'dark techno']",techno
19,0.751,0.771,4,-8.541,0,0.0695,0.12,0.733,0.113,0.19,129.009,audio_features,76nsZz34j2fslC3oVmSWrN,spotify:track:76nsZz34j2fslC3oVmSWrN,https://api.spotify.com/v1/tracks/76nsZz34j2fslC3oVmSWrN,https://api.spotify.com/v1/audio-analysis/76nsZz34j2fslC3oVmSWrN,331163,4,2019-02-22T14:57:38Z,Acid Dreams - KUSP (UK) Remix,"Adri FC,KUSP (UK)",['dark techno'],techno
